Subject	Trial	Wlist	Clist	Congruency	RT	Accuracy
13	1	red	red	con	410.251196711756	1
13	2	yellow	red	inc	555.629211214335	1
13	3	blue	red	inc	445.095025942594	1
13	4	yellow	red	inc	561.398184146107	0
13	5	red	red	con	439.80612181145	1
13	6	red	red	con	762.181835087122	1
13	7	red	yellow	inc	576.272461932159	1
13	8	blue	blue	con	437.561034299142	1
13	9	yellow	red	inc	488.276427666313	0
13	10	green	green	con	385.800929147516	1
13	11	blue	green	inc	704.442478810203	1
13	12	blue	blue	con	526.420977308214	1
13	13	yellow	yellow	con	662.914525060177	1
13	14	green	green	con	519.952924585716	1
13	15	yellow	green	inc	570.639312724865	1
13	16	blue	blue	con	386.807185422865	1
13	17	red	blue	inc	628.280417738736	1
13	18	red	yellow	inc	506.629359144494	1
13	19	yellow	green	inc	592.266034576292	0
13	20	blue	yellow	inc	558.557976834763	1
13	21	green	green	con	519.521441708561	1
13	22	red	blue	inc	534.569011207061	1
13	23	blue	green	inc	593.560615737695	1
13	24	yellow	yellow	con	399.57563069019	1
13	25	yellow	blue	inc	555.462674800477	0
13	26	blue	blue	con	431.04221549521	1
13	27	yellow	green	inc	581.044418610748	1
13	28	blue	blue	con	388.401746215989	1
13	29	green	red	inc	637.26125604176	1
13	30	yellow	blue	inc	646.639742733148	1
13	31	red	red	con	736.374702025211	1
13	32	yellow	yellow	con	508.162913198129	1
13	33	green	red	inc	499.363630730106	1
13	34	blue	green	inc	613.285831880689	1
13	35	red	red	con	351.61677119702	1
13	36	green	green	con	411.157587593817	1
13	37	red	red	con	353.565830717926	1
13	38	blue	red	inc	500.075812261934	1
13	39	yellow	yellow	con	590.608902859927	1
13	40	green	green	con	345.12347637795	1
13	41	yellow	blue	inc	587.824186565876	1
13	42	yellow	yellow	con	542.421439383254	1
13	43	green	yellow	inc	548.587623858091	0
13	44	green	green	con	356.399073690643	1
13	45	yellow	yellow	con	383.231524927504	1
13	46	blue	yellow	inc	419.178038633831	1
13	47	red	blue	inc	639.562469930001	0
13	48	green	yellow	inc	537.351932513975	1
13	49	yellow	yellow	con	721.854267933216	1
13	50	blue	blue	con	675.997509832158	1
13	51	yellow	yellow	con	515.66796416733	1
13	52	red	red	con	503.063168608186	1
13	53	yellow	yellow	con	537.584268984871	1
13	54	blue	yellow	inc	455.073016328302	1
13	55	red	red	con	439.265007631003	1
13	56	blue	blue	con	490.993909199788	1
13	57	green	red	inc	658.049852396425	1
13	58	yellow	yellow	con	576.226466802325	1
13	59	green	green	con	578.781193846248	1
13	60	red	red	con	546.692457490182	1
13	61	blue	red	inc	552.820140014819	1
13	62	blue	blue	con	484.659210201404	1
13	63	red	yellow	inc	505.460982154105	1
13	64	green	green	con	469.244677146908	1
13	65	green	green	con	372.127765335547	1
13	66	red	red	con	510.446625613249	1
13	67	yellow	green	inc	321.177309222324	1
13	68	green	blue	inc	465.398532171776	1
13	69	blue	red	inc	429.631993708747	1
13	70	red	red	con	406.453090292001	1
13	71	green	green	con	498.129799481317	1
13	72	blue	yellow	inc	482.875906147696	1
13	73	yellow	yellow	con	649.864372892058	1
13	74	red	yellow	inc	598.003176150327	1
13	75	green	yellow	inc	625.425279968743	1
13	76	blue	blue	con	523.3595090986	1
13	77	blue	blue	con	541.540168602003	1
13	78	red	green	inc	491.610854916867	1
13	79	red	blue	inc	462.435834345835	0
13	80	red	green	inc	559.447578219077	1
13	81	green	red	inc	666.249996926105	1
13	82	green	blue	inc	427.370607628686	1
13	83	green	green	con	521.852313848626	0
13	84	green	blue	inc	640.337508541228	1
13	85	blue	green	inc	602.677745040166	1
13	86	yellow	blue	inc	521.131022332095	1
13	87	green	blue	inc	491.548977234975	1
13	88	blue	blue	con	452.683010403288	1
13	89	yellow	yellow	con	692.150971541017	1
13	90	green	green	con	381.557308758989	1
13	91	red	red	con	446.448753641698	1
13	92	red	green	inc	630.478574265746	1
13	93	blue	blue	con	527.816251076265	1
13	94	yellow	red	inc	728.72587747281	1
13	95	red	green	inc	735.611897619568	1
13	96	green	yellow	inc	745.73546681647	1
